t;u;w;q [graus/s];theta [graus]
33.4;61.9258;1.94096;1.09325;-4.60742
33.5;62.0405;1.93595;1.11254;-4.49713
33.6;62.1529;1.93104;1.13148;-4.38494
33.7;62.2631;1.92622;1.15005;-4.27087
33.8;62.3711;1.9215;1.16827;-4.15496
33.9;62.4767;1.91688;1.18611;-4.03725
34;62.5799;1.91236;1.20359;-3.91777
34.1;62.6809;1.90793;1.22069;-3.79656
34.2;62.7794;1.90361;1.23741;-3.67366
34.3;62.8756;1.8994;1.25375;-3.54911
34.4;62.9693;1.89528;1.2697;-3.42294
34.5;63.0606;1.89127;1.28527;-3.29519
34.6;63.1494;1.88737;1.30044;-3.16591
34.7;63.2358;1.88357;1.31521;-3.03513
34.8;63.3196;1.87987;1.32959;-2.9029
34.9;63.401;1.87629;1.34356;-2.76925
35;63.4798;1.87281;1.35713;-2.63421
35.1;63.5561;1.86944;1.37028;-2.49785
35.2;63.6298;1.86618;1.38303;-2.36018
35.3;63.701;1.86304;1.39537;-2.22127
35.4;63.7695;1.86;1.40728;-2.08114
35.5;63.8355;1.85707;1.41878;-1.93984
35.6;63.8988;1.85426;1.42986;-1.79741
35.7;63.9595;1.85155;1.44052;-1.65389
35.8;64.0176;1.84897;1.45075;-1.50933
35.9;64.0731;1.84649;1.46055;-1.36376
36;64.1258;1.84413;1.46993;-1.21724
36.1;64.1759;1.84188;1.47888;-1.0698
36.2;64.2234;1.83975;1.48739;-0.921488
36.3;64.2682;1.83773;1.49548;-0.772344
36.4;64.3102;1.83583;1.50313;-0.622414
36.5;64.3496;1.83404;1.51034;-0.471741
36.6;64.3863;1.83237;1.51712;-0.320368
36.7;64.4204;1.83081;1.52346;-0.168338
36.8;64.4517;1.82937;1.52937;-0.0156959
36.9;64.4803;1.82805;1.53483;0.137515
37;64.5061;1.82684;1.53986;0.291251
37.1;64.5293;1.82575;1.54445;0.445468
37.2;64.5498;1.82478;1.5486;0.600121
37.3;64.5676;1.82392;1.55231;0.755169
37.4;64.5827;1.82318;1.55558;0.910565
37.5;64.5951;1.82255;1.55841;1.06627
37.6;64.6047;1.82204;1.5608;1.22223
37.7;64.6117;1.82165;1.56276;1.37841
37.8;64.616;1.82137;1.56427;1.53476
37.9;64.6176;1.82121;1.56535;1.69125
38;64.6165;1.82116;1.56599;1.84782
38.1;64.6128;1.82123;1.5662;2.00443
38.2;64.6064;1.82142;1.56597;2.16104
38.3;64.5973;1.82171;1.5653;2.31761
38.4;64.5856;1.82213;1.56421;2.47409
38.5;64.5712;1.82265;1.56268;2.63044
38.6;64.5542;1.82329;1.56072;2.78662
38.7;64.5346;1.82405;1.55834;2.94257
38.8;64.5124;1.82491;1.55553;3.09827
38.9;64.4876;1.82589;1.55229;3.25367
39;64.4602;1.82698;1.54863;3.40872
39.1;64.4302;1.82818;1.54455;3.56338
39.2;64.3977;1.82949;1.54005;3.71762
39.3;64.3627;1.83091;1.53513;3.87138
39.4;64.3251;1.83243;1.5298;4.02463
39.5;64.285;1.83407;1.52405;4.17733
39.6;64.2425;1.83582;1.5179;4.32944
39.7;64.1974;1.83767;1.51134;4.48091
39.8;64.1499;1.83962;1.50438;4.6317
39.9;64.1;1.84169;1.49701;4.78178
40;64.0477;1.84386;1.48925;4.9311
40.1;63.9929;1.84613;1.48109;5.07962
40.2;63.9358;1.8485;1.47255;5.22731
40.3;63.8763;1.85098;1.46361;5.37413
40.4;63.8145;1.85355;1.45429;5.52003
40.5;63.7504;1.85623;1.44458;5.66498
40.6;63.684;1.85901;1.4345;5.80894
40.7;63.6154;1.86188;1.42404;5.95188
40.8;63.5445;1.86485;1.41322;6.09375
40.9;63.4714;1.86792;1.40202;6.23452
41;63.3961;1.87108;1.39047;6.37415
41.1;63.3187;1.87434;1.37855;6.51261
41.2;63.2391;1.87768;1.36628;6.64986
41.3;63.1574;1.88113;1.35366;6.78587
41.4;63.0736;1.88466;1.3407;6.9206
41.5;62.9878;1.88828;1.32739;7.05401
41.6;62.9;1.89198;1.31374;7.18608
41.7;62.8102;1.89578;1.29977;7.31676
41.8;62.7184;1.89966;1.28546;7.44603
41.9;62.6246;1.90362;1.27083;7.57386
42;62.529;1.90767;1.25589;7.7002
42.1;62.4315;1.9118;1.24063;7.82504
42.2;62.3321;1.916;1.22506;7.94834
42.3;62.231;1.92029;1.20919;8.07006
42.4;62.1281;1.92466;1.19302;8.19018
42.5;62.0234;1.9291;1.17656;8.30867
42.6;61.917;1.93361;1.15981;8.4255
42.7;61.8089;1.9382;1.14278;8.54064
42.8;61.6992;1.94286;1.12547;8.65406
42.9;61.5879;1.9476;1.10789;8.76574
43;61.475;1.9524;1.09004;8.87565
43.1;61.3606;1.95726;1.07193;8.98376
43.2;61.2447;1.9622;1.05357;9.09004
43.3;61.1273;1.9672;1.03496;9.19448
43.4;61.0084;1.97226;1.0161;9.29705
43.5;60.8882;1.97738;0.997006;9.39771
43.6;60.7666;1.98256;0.977681;9.49646
43.7;60.6437;1.9878;0.95813;9.59326
43.8;60.5195;1.9931;0.938359;9.6881
43.9;60.3941;1.99845;0.918374;9.78094
44;60.2674;2.00385;0.898182;9.87178
44.1;60.1396;2.00931;0.877787;9.96059
44.2;60.0106;2.01482;0.857197;10.0474
44.3;59.8806;2.02037;0.836417;10.132
44.4;59.7495;2.02597;0.815454;10.2147
44.5;59.6173;2.03162;0.794313;10.2952
44.6;59.4842;2.03731;0.773002;10.3735
44.7;59.3502;2.04304;0.751527;10.4498
44.8;59.2152;2.04881;0.729893;10.5239
44.9;59.0794;2.05463;0.708108;10.5958
45;58.9428;2.06047;0.686177;10.6655
45.1;58.8054;2.06635;0.664107;10.733
45.2;58.6672;2.07227;0.641905;10.7983
45.3;58.5284;2.07822;0.619577;10.8614
45.4;58.3889;2.08419;0.597129;10.9223
45.5;58.2487;2.0902;0.574569;10.9809
45.6;58.108;2.09623;0.551901;11.0372
45.7;57.9668;2.10229;0.529134;11.0913
45.8;57.825;2.10837;0.506274;11.143
45.9;57.6828;2.11447;0.483326;11.1925
46;57.5402;2.12058;0.460299;11.2397
46.1;57.3972;2.12672;0.437197;11.2846
46.2;57.2538;2.13287;0.414029;11.3272
46.3;57.1102;2.13904;0.3908;11.3674
46.4;56.9663;2.14522;0.367517;11.4054
46.5;56.8222;2.15141;0.344186;11.441
46.6;56.6779;2.15761;0.320815;11.4742
46.7;56.5335;2.16382;0.29741;11.5052
46.8;56.3889;2.17003;0.273977;11.5337
46.9;56.2444;2.17624;0.250523;11.56
47;56.0998;2.18246;0.227055;11.5839
47.1;55.9552;2.18868;0.203578;11.6054
47.2;55.8107;2.19489;0.1801;11.6246
47.3;55.6663;2.20111;0.156628;11.6415
47.4;55.5221;2.20732;0.133166;11.656
47.5;55.378;2.21352;0.109723;11.6681
47.6;55.2342;2.21971;0.0863048;11.6779
47.7;55.0907;2.22589;0.0629172;11.6854
47.8;54.9474;2.23206;0.039567;11.6905
47.9;54.8045;2.23822;0.0162605;11.6933
48;54.6619;2.24437;-0.00699575;11.6938
48.1;54.5198;2.25049;-0.0301956;11.692
48.2;54.3782;2.2566;-0.0533326;11.6878
48.3;54.237;2.26269;-0.0764006;11.6813
48.4;54.0964;2.26875;-0.0993932;11.6725
48.5;53.9563;2.2748;-0.122304;11.6615
48.6;53.8169;2.28081;-0.145128;11.6481
48.7;53.6781;2.28681;-0.167858;11.6325
48.8;53.54;2.29277;-0.190488;11.6146
48.9;53.4026;2.2987;-0.213012;11.5944
49;53.2659;2.3046;-0.235424;11.572
49.1;53.1301;2.31047;-0.257718;11.5473
49.2;52.9951;2.31631;-0.279888;11.5205
49.3;52.861;2.32211;-0.301929;11.4914
49.4;52.7277;2.32787;-0.323834;11.4601
49.5;52.5954;2.33359;-0.345598;11.4266
49.6;52.4641;2.33927;-0.367216;11.391
49.7;52.3337;2.34491;-0.38868;11.3532
49.8;52.2044;2.35051;-0.409987;11.3133
49.9;52.0762;2.35606;-0.43113;11.2713
50;51.9491;2.36156;-0.452103;11.2271
50.1;51.8231;2.36702;-0.472902;11.1809
50.2;51.6983;2.37243;-0.493521;11.1325
50.3;51.5747;2.37779;-0.513955;11.0822
50.4;51.4523;2.38309;-0.534198;11.0298
50.5;51.3312;2.38835;-0.554246;10.9754
50.6;51.2113;2.39354;-0.574093;10.919
50.7;51.0928;2.39868;-0.593734;10.8606
50.8;50.9757;2.40377;-0.613164;10.8002
50.9;50.8599;2.4088;-0.632378;10.738
51;50.7456;2.41376;-0.651372;10.6738
51.1;50.6327;2.41867;-0.670141;10.6077
51.2;50.5212;2.42351;-0.68868;10.5398
51.3;50.4113;2.42829;-0.706985;10.47
51.4;50.3029;2.43301;-0.72505;10.3984
51.5;50.196;2.43766;-0.742872;10.325
51.6;50.0907;2.44224;-0.760446;10.2499
51.7;49.987;2.44675;-0.777767;10.173
51.8;49.8849;2.4512;-0.794833;10.0943
51.9;49.7845;2.45557;-0.811638;10.014
